Year,Simulation,Total Pumping,Annual Revenue
1996,65,3091.6401691079022,10.488774743503159
1996,65,2787.5191828937777,10.361071778552425
1996,66,3413.500985032399,10.999063932883711
1996,66,3047.416034424669,8.649393499606632
1996,67,3375.0470059323266,11.008614051684471
1996,67,3010.9697146947697,9.720890036635309
1996,68,3375.0470059323266,11.008614051684471
1996,68,3010.9697146947697,9.720890036635309
1996,69,3041.812670273801,10.250758863919051
1996,69,3289.0303555282644,11.742030165305609
1996,70,2652.3999312394485,6.7137739652150845
1996,70,2742.1471748573126,11.167329919537059
1996,71,2652.3999312394485,6.7137739652150845
1996,71,2742.1471748573126,11.167329919537059
1996,72,3646.8431623625675,11.386817204298953
1996,72,3085.501517084361,10.41304298303412
1996,73,3709.7871891335285,11.434240877468449
1996,73,3237.551634541281,9.647098256639644
